iter	Passed	Remaining
559	74181	1250490
560	74315	1250381
561	74448	1250264
562	74577	1250071
563	74705	1249865
564	74847	1249887
565	74972	1249623
566	75101	1249432
567	75240	1249409
568	75370	1249244
569	75509	1249214
570	75641	1249078
571	75766	1248829
572	75912	1248908
573	76043	1248762
574	76179	1248674
575	76338	1248983
576	76464	1248747
577	76594	1248566
578	76731	1248503
579	76858	1248294
580	76994	1248216
581	77135	1248214
582	77264	1248030
583	77399	1247937
584	77524	1247688
585	77657	1247562
586	77791	1247450
587	77933	1247465
588	78073	1247456
589	78221	1247565
590	78365	1247617
591	78495	1247443
592	78626	1247276
593	78753	1247066
594	78891	1247018
595	79027	1246943
596	79161	1246820
597	79292	1246665
598	79436	1246715
599	79564	1246505
600	79697	1246381
601	79825	1246186
602	79956	1246021
603	80089	1245897
604	80226	1245834
605	80366	1245814
606	80497	1245649
607	80628	1245505
608	80750	1245208
609	80883	1245078
610	81023	1245056
611	81159	1244981
612	81291	1244832
613	81412	1244518
614	81545	1244404
615	81675	1244219
616	81818	1244251
617	81950	1244112
618	82085	1244017
619	82217	1243875
620	82339	1243584
621	82477	1243527
622	82616	1243483
623	82740	1243231
624	82876	1243147
625	83007	1242984
626	83144	1242920
627	83276	1242784
628	83413	1242712
629	83543	1242542
630	83681	1242491
631	83814	1242360
632	83956	1242366
633	84086	1242197
634	84211	1241960
635	84352	1241939
636	84484	1241803
637	84615	1241652
638	84748	1241518
639	84876	1241322
640	85018	1241317
641	85158	1241291
642	85291	1241166
643	85428	1241098
644	85550	1240815
645	85678	1240615
646	85810	1240469
647	85946	1240381
648	86079	1240256
649	86209	1240095
650	86349	1240068
651	86463	1239666
652	86597	1239548
653	86726	1239370
654	86861	1239274
655	87008	1239346
656	87140	1239194
657	87276	1239117
658	87401	1238874
659	87537	1238787
660	87679	1238781
661	87820	1238777
662	87956	1238690
663	88088	1238548
664	88226	1238482
665	88358	1238340
666	88495	1238279
667	88631	1238181
668	88763	1238048
669	88900	1237974
670	89038	1237915
671	89169	1237763
672	89300	1237600
673	89431	1237445
674	89567	1237357
675	89699	1237219
676	89839	1237185
677	89975	1237090
678	90108	1236967
679	90250	1236959
680	90375	1236725
681	90502	1236519
682	90654	1236647
683	90788	1236529
684	90924	1236435
685	91048	1236184
686	91189	1236170
687	91323	1236055
688	91464	1236031
689	91592	1235834
690	91731	1235792
691	91869	1235720
692	92004	1235627
693	92148	1235639
694	92280	1235502
695	92414	1235383
696	92547	1235249
697	92688	1235222
698	92815	1235012
699	92946	1234855
700	93076	1234687
701	93213	1234608
702	93338	1234373
703	93474	1234285
704	93611	1234205
705	93741	1234046
706	93873	1233893
707	94007	1233785
708	94137	1233616
709	94269	1233467
710	94397	1233278
711	94536	1233224
712	94672	1233130
713	94803	1232974
714	94928	1232745
715	95054	1232519
716	95184	1232356
717	95314	1232183
718	95447	1232050
719	95581	1231942
720	95709	1231744
721	95843	1231630
722	95979	1231531
723	96119	1231502
724	96254	1231398
725	96390	1231306
726	96520	1231131
727	96652	1230993
728	96787	1230889
729	96923	1230801
730	97057	1230681
731	97192	1230576
732	97327	1230467
733	97448	1230189
734	97582	1230075
735	97719	1229996
736	97851	1229846
737	97986	1229744
738	98113	1229541
739	98252	1229481
740	98380	1229294
741	98524	1229293
742	98657	1229168
743	98784	1228963
744	98914	1228794
745	99050	1228701
746	99175	1228469
747	99302	1228273
748	99446	1228274
749	99577	1228125
750	99713	1228028
751	99847	1227915
752	99973	1227700
753	100108	1227584
754	100234	1227368
755	100370	1227286
756	100491	1227007
757	100625	1226891
758	100770	1226904
759	100903	1226773
760	101036	1226640
761	101169	1226515
762	101301	1226367
763	101433	1226233
764	101573	1226179
765	101715	1226160
766	101845	1226001
767	101974	1225822
768	102097	1225574
769	102229	1225430
770	102373	1225430
771	102510	1225346
772	102643	1225214
773	102778	1225111
774	102908	1224941
775	103040	1224797
776	103166	1224589
777	103296	1224417
778	103432	1224326
779	103577	1224338
780	103712	1224229
781	103870	1224395
782	104006	1224296
783	104140	1224182
784	104278	1224115
785	104414	1224012
786	104549	1223912
787	104686	1223817
788	104816	1223654
789	104950	1223541
790	105089	1223476
791	105227	1223405
792	105363	1223303
793	105504	1223264
794	105642	1223192
795	105774	1223045
796	105906	1222906
797	106031	1222680
798	106161	1222523
799	106299	1222446
800	106421	1222189
801	106551	1222015
802	106686	1221908
803	106810	1221673
804	106939	1221501
805	107070	1221352
806	107203	1221214
807	107338	1221108
808	107476	1221034
809	107611	1220923
810	107758	1220948
811	107892	1220838
812	108026	1220711
813	108156	1220546
814	108289	1220419
815	108419	1220255
816	108559	1220200
817	108695	1220100
818	108808	1219739
819	108956	1219783
820	109079	1219543
821	109228	1219584
822	109356	1219395
823	109491	1219286
824	109628	1219198
825	109766	1219128
826	109904	1219049
827	110035	1218900
828	110169	1218771
829	110308	1218708
830	110423	1218375
831	110564	1218333
832	110703	1218270
833	110834	1218117
834	110970	1218015
835	111114	1218009
836	111255	1217966
837	111393	1217881
838	111531	1217804
839	111669	1217730
840	111806	1217641
841	111932	1217435
842	112063	1217274
843	112202	1217215
844	112339	1217127
